cnpj_basico;cnpj_ordem;cnpj_dv;nome_fantasia;situacao;data_situacao;data_inicio;cnae_fiscal;bairro;municipio;Nome_Cidade;razao_social;capital_social;porte;opcao_simples;opcao_mei
00566575;0001;76;;08;20081231;19950419;4712100;MAROTTI;4305;Carmo da Mata;MERCEARIA LOJAO LTDA;0,00;05;;
05537811;0001;40;;08;20150209;20030225;4781400;CENTRO;4305;Carmo da Mata;GRAZIELA FERNANDA CRELIER;0,00;01;;
01823031;0002;96;RUTGER;08;20020828;20000426;4781400;CENTRO;4305;Carmo da Mata;MARCIA A. GONCALVES ROCHA;0,00;01;;
03888555;0001;00;;02;20240102;20000615;8299799;HAIDEE;4305;Carmo da Mata;JOSE ANTONIO MARQUES ALVES REPRESENTACOES LTDA;0,00;01;;
00582230;0001;06;TROCAS REPRESENTACOES;08;19950930;19950426;8888888;PARAIZO;4305;Carmo da Mata;CASTRO & CASTRO REPRESENTACOES LTDA;0,00;05;;
05566073;0001;69;LIVRARIA PORTINARI;04;20190123;20030306;4761001;CENTRO;4305;Carmo da Mata;OLINDA PINHEIRO DE SOUZA;0,00;01;;
05573531;0001;97;;08;20140613;20030307;4723700;SERENO;4305;Carmo da Mata;SEBASTIAO LUCIO DE MORAIS;0,00;01;;
00606034;0001;24;VIRTUOSE JOIAS;08;20140613;19950509;4783101;TAQUARA  PRETA;4305;Carmo da Mata;VIRTUOSE JOALHERIA E COMERCIO LTDA;0,00;05;;
02320739;0072;08;TELEMIG CELULAR S.A.;08;20100601;19980416;6120501;CENTRO;4305;Carmo da Mata;TELEMIG CELULAR S/A;528000000,00;05;;
02340786;0002;00;CIRCUITO ACADEMIA;08;20091230;20030811;8690999;CENTRO;4305;Carmo da Mata;BODY IN ACTION LTDA;10000,00;01;S;00000000
02372470;0002;92;MAZULIS;08;20000530;19980121;4930201;THOME;4305;Carmo da Mata;MAZULIS TRANSPORTES LTDA;0,00;05;;
02391521;0002;23;;02;20051103;20030318;8511200;CENTRO;4305;Carmo da Mata;CENTRO EDUCACIONAL CECILIA MEIRELES CATAGUASES LTDA;62000,00;01;;
03929363;0001;02;AUTO PECAS UNIAO;08;20090212;20000711;4530703;POPULAR;4305;Carmo da Mata;MARIA APARECIDA DE OLIVEIRA GARCIA;0,00;01;N;00000000
02753232;0002;27;ISAQUE & CHALON;04;20190123;20000629;4649499;PAMPULHA;4305;Carmo da Mata;ANGELA MARIA MELO DE OLIVEIRA;0,00;01;;
00638961;0001;26;;08;20240902;19950510;5611203;CENTRO;4305;Carmo da Mata;POMP'S LANCHES LTDA;2000,00;01;;
00643096;0001;06;;08;20051219;19950602;4712100;COLINAS;4305;Carmo da Mata;MERCADO JOAO PAULO II LTDA;0,00;05;;
05629482;0001;67;MERCADO VER DE PERTO;08;20241017;20030410;4712100;SOL NASCENTE;4305;Carmo da Mata;MERCADO VER DE PERTO LTDA;5000,00;01;;
02968596;0003;05;;08;20080319;20020718;5611203;CENTRO;4305;Carmo da Mata;R.R.FERREIRA & CIA LTDA;0,00;01;;
00654879;0001;95;PIT STOP;08;19990531;19950608;4520001;CENTRO;4305;Carmo da Mata;DANIEL CLEMENTE DE ARAUJO;0,00;05;;
00654882;0001;09;;08;20081231;19950609;9430800;CENTRO;4305;Carmo da Mata;CONSELHO MUNICIPAL DA CRIANCA E DO ADOLESCENTE;0,00;05;;
03972058;0001;95;PICOLE CATAGUASES;08;20120416;20000726;1053800;SANTA CLARA;4305;Carmo da Mata;MARLISIO OLIVEIRA TOLEDO CHAGAS;0,00;01;;
05641971;0001;34;MOVEIS RUSTICOS DE MINAS;08;20150209;20030424;4754701;GRANJARIA;4305;Carmo da Mata;MARCOS TOLEDO SILVEIRA;0,00;05;;
05655724;0001;97;TECIDOS PEIXOTO;04;20190123;20030502;4641901;CENTRO;4305;Carmo da Mata;LEDA FONSECA PEIXOTO;0,00;01;;
05655772;0001;85;;08;20070711;20030512;6209100;CENTRO;4305;Carmo da Mata;MEIRELES & BARBOSA LTDA;0,00;01;;
05682569;0001;06;;02;20051103;20030604;4744002;IBRAIM MENDONCA;4305;Carmo da Mata;MARCO ANTONIO PINTO BARBOSA;0,00;01;;
05685790;0001;00;BAR SANTA RITA;08;20190731;20030325;4723700;VILA DOMINGOS LOPES;4305;Carmo da Mata;ONEIVES DUARTE;1,00;01;N;20100101
02320686;0001;23;;02;19980728;19970909;8112500;V. DOMINGOS LOPES;4305;Carmo da Mata;CONDOMINIO EDIFICIO VILA SHOPPING;0,00;05;;
00709227;0001;00;;08;20010726;19950717;4541203;CENTRO;4305;Carmo da Mata;MOROTO MOTOS LTDA;0,00;05;;
